Timestamp,Measurement 1,Measurement 2,Measurement 3
7/9/2022 4:53:19 PM,0.672169,0.209385,0.526564
7/9/2022 4:53:20 PM,0.191261,0.739182,0.238470
7/9/2022 4:53:21 PM,0.835563,0.262021,0.308460
7/9/2022 4:53:22 PM,0.302706,1.050003,0.589883
7/9/2022 4:53:23 PM,0.340131,1.026262,1.171592
7/9/2022 4:53:24 PM,0.287486,1.156494,0.570222
7/9/2022 4:53:25 PM,0.238445,1.269952,0.713430
7/9/2022 4:53:26 PM,0.546729,1.300167,1.537682
7/9/2022 4:53:27 PM,1.066045,1.187731,1.709210
7/9/2022 4:53:28 PM,0.269397,0.508295,1.911231
7/9/2022 4:53:29 PM,0.848825,1.037581,1.448648
7/9/2022 4:53:30 PM,0.479701,0.707971,1.477116
7/9/2022 4:53:31 PM,0.285622,0.590268,1.531266
7/9/2022 4:53:32 PM,1.128409,0.703809,1.987937
7/9/2022 4:53:33 PM,1.136982,0.963286,2.227871
7/9/2022 4:53:34 PM,0.514394,1.081166,2.452934
7/9/2022 4:53:35 PM,1.057324,0.876592,1.923654
7/9/2022 4:53:36 PM,1.352068,0.983732,1.879593
7/9/2022 4:53:37 PM,0.825882,0.951090,2.042975
7/9/2022 4:53:38 PM,0.719998,0.860980,2.331513
7/9/2022 4:53:39 PM,1.459434,1.405021,2.490628
7/9/2022 4:53:40 PM,0.501594,1.245208,2.575208
7/9/2022 4:53:41 PM,0.764937,1.297140,2.632115
7/9/2022 4:53:42 PM,1.164207,1.375780,3.282260
7/9/2022 4:42:47 PM,0.949847,1.691428,2.642664
7/9/2022 4:42:48 PM,0.893452,1.403798,3.215110
7/9/2022 4:42:49 PM,1.028576,1.408152,3.483831
7/9/2022 4:42:50 PM,1.031993,1.352961,3.069754
7/9/2022 4:42:51 PM,0.839973,1.386201,3.518514
7/9/2022 4:42:52 PM,0.776622,2.051309,3.155495
7/9/2022 4:42:53 PM,1.421025,2.099986,3.284625
7/9/2022 4:42:54 PM,1.355272,1.962970,3.166098
7/9/2022 4:42:55 PM,1.395753,1.970577,3.910294
7/9/2022 4:42:56 PM,1.359855,1.896685,4.120930
7/9/2022 4:42:57 PM,1.717366,2.116634,4.184301
7/9/2022 4:42:58 PM,0.925806,1.648331,4.304745
7/9/2022 4:42:59 PM,1.413432,2.141358,4.477612
7/9/2022 4:43:00 PM,1.049727,1.867382,4.569689
7/9/2022 4:43:01 PM,0.972565,2.684741,4.347899
7/9/2022 4:43:02 PM,1.155966,2.683975,4.369548
7/9/2022 4:54:01 PM,1.081564,2.318509,4.761434
7/9/2022 4:54:02 PM,1.249251,2.116655,4.475387
7/9/2022 4:54:03 PM,1.485570,2.431599,4.288753
7/9/2022 4:54:04 PM,1.262419,2.193450,4.975060
7/9/2022 4:54:05 PM,1.196786,1.980163,4.764577
7/9/2022 4:54:06 PM,1.270062,2.742382,5.018793
7/9/2022 4:54:07 PM,1.576296,2.346674,4.879798
7/9/2022 4:54:08 PM,1.887599,2.904814,5.338634
7/9/2022 4:54:09 PM,1.915854,2.428107,5.332395
7/9/2022 4:54:11 PM,1.669947,2.302491,5.314991
7/9/2022 4:54:12 PM,1.261576,2.487321,5.494937
7/9/2022 4:54:13 PM,1.684877,2.531704,6.040530
7/9/2022 4:54:14 PM,1.971067,2.996239,6.265083
7/9/2022 4:54:15 PM,1.586964,3.307575,5.524334
7/9/2022 4:54:16 PM,1.291679,3.293914,6.312965
7/9/2022 4:54:17 PM,1.865228,2.743639,6.253700
7/9/2022 4:54:18 PM,1.378058,3.507556,6.347497
7/9/2022 4:54:19 PM,2.116890,2.640807,6.570272
7/9/2022 4:54:20 PM,1.795970,3.411436,6.155578
7/9/2022 4:54:21 PM,1.999623,3.346982,6.975266
7/9/2022 4:54:23 PM,1.704610,3.076839,6.692044
7/9/2022 4:54:24 PM,2.066037,3.409818,6.823240
7/9/2022 4:54:25 PM,1.820042,3.023458,6.908638
7/9/2022 4:54:26 PM,1.724337,2.976415,7.051430
7/9/2022 4:54:27 PM,2.053159,3.219121,6.990229
7/9/2022 4:54:28 PM,1.680411,3.026325,7.088155
7/9/2022 4:54:29 PM,1.692671,3.596242,7.486923
7/9/2022 4:54:30 PM,2.127951,3.124959,6.912502
7/9/2022 4:54:31 PM,1.644328,3.617973,7.453193
7/9/2022 4:54:32 PM,1.847289,3.748123,7.113502
7/9/2022 4:54:33 PM,2.086513,3.333617,7.497081
7/9/2022 4:54:35 PM,1.857543,3.855303,8.024775
7/9/2022 4:54:36 PM,2.076701,3.750972,7.466072
7/9/2022 4:54:37 PM,2.566686,3.343342,8.443517
7/9/2022 4:54:38 PM,2.461886,3.698749,7.850629
7/9/2022 4:54:39 PM,2.517410,4.049241,8.386223
7/9/2022 4:54:40 PM,2.578212,4.418546,7.807312
7/9/2022 4:54:41 PM,2.588495,3.489599,8.470892
7/9/2022 4:54:42 PM,2.500908,4.238774,8.157264
7/9/2022 4:54:43 PM,1.992571,3.998930,9.047460
7/9/2022 4:54:44 PM,1.984023,4.517228,9.059660
7/9/2022 4:54:45 PM,1.876342,4.148970,9.205345
7/9/2022 4:54:47 PM,2.208268,4.526002,8.606841
7/9/2022 4:54:48 PM,2.062030,4.568858,8.971749
7/9/2022 4:54:49 PM,2.785568,4.739474,9.327003
7/9/2022 4:54:50 PM,2.407191,4.001218,9.642980
7/9/2022 4:54:51 PM,2.338938,3.940296,9.314406
7/9/2022 4:54:52 PM,2.867501,4.384311,9.250530
7/9/2022 4:54:53 PM,2.427069,4.069842,9.855389
7/9/2022 4:54:54 PM,3.001485,4.477292,9.090751
7/9/2022 4:54:55 PM,2.329297,4.333968,10.138333
7/9/2022 4:54:56 PM,2.994236,5.063520,9.541297
7/9/2022 4:54:57 PM,2.132974,5.084404,10.348904
7/9/2022 4:54:59 PM,2.295030,4.730571,10.265384
7/9/2022 4:55:00 PM,3.050455,5.059554,9.631336
7/9/2022 4:55:01 PM,2.728592,4.560898,10.313697
7/9/2022 4:55:02 PM,2.940094,5.243070,10.359854
7/9/2022 4:55:03 PM,2.450736,5.358661,10.724549
7/9/2022 4:55:04 PM,2.573451,5.255171,10.045217
7/9/2022 4:55:05 PM,2.852038,5.369825,10.342134
7/9/2022 4:55:06 PM,2.561484,5.316181,10.567312
7/9/2022 4:55:07 PM,2.677489,4.761753,10.312443
7/9/2022 4:55:08 PM,2.791746,4.720630,10.603903
7/9/2022 4:55:09 PM,2.421084,5.569835,10.758552
7/9/2022 4:55:11 PM,3.330991,4.776229,10.746777
7/9/2022 4:55:12 PM,2.452852,4.726586,11.554278
7/9/2022 4:55:13 PM,2.818497,5.568201,10.929149
7/9/2022 4:55:14 PM,2.970757,5.088369,11.019032
7/9/2022 4:55:15 PM,3.020429,5.009236,11.666600
7/9/2022 4:55:16 PM,2.764203,4.959489,11.956420
7/9/2022 4:55:17 PM,2.958216,5.841620,11.251026
7/9/2022 4:55:18 PM,3.263055,5.520921,11.558365
7/9/2022 4:55:19 PM,2.782882,5.053334,12.310890
7/9/2022 4:55:20 PM,3.181306,5.373371,12.083560
7/9/2022 4:55:21 PM,2.770826,5.703144,11.855257
7/9/2022 4:55:23 PM,2.817270,5.974090,11.985816
7/9/2022 4:55:24 PM,2.958767,5.665384,12.404879
7/9/2022 4:55:25 PM,2.858488,5.298335,12.122884
7/9/2022 4:55:26 PM,3.482940,6.217459,12.458672
7/9/2022 4:55:27 PM,3.442789,5.491831,12.225019
7/9/2022 4:55:28 PM,2.808963,5.978104,12.478762
7/9/2022 4:55:29 PM,3.199837,5.871427,13.204898
7/9/2022 4:55:30 PM,3.127744,5.941831,12.591542
7/9/2022 4:55:31 PM,3.086509,5.782409,12.963260
7/9/2022 4:55:32 PM,3.134766,6.160139,12.704835
7/9/2022 4:55:33 PM,2.957317,5.923161,13.457083
7/9/2022 4:55:35 PM,3.408678,6.618360,13.216963
7/9/2022 4:55:36 PM,3.179298,6.150478,13.427089
7/9/2022 4:55:37 PM,3.816616,6.230520,13.941281
7/9/2022 4:55:38 PM,3.165654,6.214617,13.641303
7/9/2022 4:55:39 PM,3.770512,6.494192,13.632201
7/9/2022 4:55:40 PM,3.788266,6.875986,14.051307
7/9/2022 4:55:41 PM,3.869044,6.891445,13.576173
7/9/2022 4:55:42 PM,3.099375,6.819564,14.097049
7/9/2022 4:55:43 PM,3.509149,6.059191,14.347648
7/9/2022 4:55:44 PM,3.856372,6.235686,14.324877
7/9/2022 4:55:46 PM,3.288690,6.864725,14.837312
7/9/2022 4:55:47 PM,3.455403,6.744573,14.005478
7/9/2022 4:55:48 PM,3.861820,6.915667,15.008852
7/9/2022 4:55:49 PM,3.810809,6.683587,14.564567
7/9/2022 4:55:50 PM,3.313010,6.830364,14.544809
7/9/2022 4:55:51 PM,3.965126,7.225684,15.225626
7/9/2022 4:55:52 PM,3.475828,7.136970,14.709852
7/9/2022 4:55:53 PM,3.510871,6.520352,14.817700
7/9/2022 4:55:54 PM,3.524719,6.483015,14.868304
7/9/2022 4:55:55 PM,3.458677,6.982069,15.201623
7/9/2022 4:55:56 PM,4.073748,6.682668,14.905321
7/9/2022 4:55:58 PM,4.090003,7.480839,15.449884
7/9/2022 4:55:59 PM,4.279911,7.238210,15.335411
7/9/2022 4:56:00 PM,4.081384,7.002091,15.480409
